GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,GCSJ_MQ,HPZL,HPZL_LABEL,HPHM,BRAND
F120300109070244637,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 18:11:41,1704564701000,2024-01-06 18:11:41,2,小型汽车,鲁QX8***,福田
F120300109070245549,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 18:11:43,1704564703000,2024-01-06 18:11:43,2,小型汽车,苏C20***,东风
F120300109070251316,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-06 18:11:44,1704564704000,2024-01-06 18:11:44,2,小型汽车,苏CK9***,奔驰
F120300109070246799,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2024-01-06 18:11:48,1704564708000,2024-01-06 18:11:48,2,小型汽车,苏CF3***,五菱
F120300109070252684,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-06 18:11:49,1704564709000,2024-01-06 18:11:49,1,大型汽车,鲁PQ7***,依维柯
F120300109070247469,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 18:11:52,1704564712000,2024-01-06 18:11:52,2,小型汽车,LELC***,宝马
F120300109070248585,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2024-01-06 18:11:57,1704564717000,2024-01-06 18:11:57,1,大型汽车,苏CLX***,未知
F120300109070248395,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 18:11:58,1704564718000,2024-01-06 18:11:58,2,小型汽车,鲁Q15***,未知
F120300109070248724,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 18:11:59,1704564719000,2024-01-06 18:11:59,2,小型汽车,苏CS3***,雪佛兰
F120300109070247924,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 18:11:59,1704564719000,2024-01-06 18:11:59,2,小型汽车,苏CC1***,大众
F120300109070249521,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 18:12:01,1704564721000,2024-01-06 18:12:01,2,小型汽车,苏C33***,一汽
F120300109070248849,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 18:12:02,1704564722000,2024-01-06 18:12:02,2,小型汽车,苏C8T***,未知
F120300109070249423,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2024-01-06 18:12:02,1704564722000,2024-01-06 18:12:02,2,小型汽车,苏C57***,大众
