GCXH,XZQHMC,KKMC,FXLX,GCSJ,HPZL,"SUBSTR(HPHM,1,4)||'***'",CLPPXH
320300108805952923,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:53,01,鲁JA3***,-
320300108805953072,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:53,01,鲁DK5***,-
320300108805953557,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 0:54,01,苏CRE***,-
320300108805953657,铜山县,徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口,1,2023/12/1 0:54,02,苏CK3***,-
320300108805953803,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:55,01,鲁Q36***,-
320300108805954459,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:55,02,苏C5J***,-
320300108805954451,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:55,02,苏C5J***,-
320300108805955214,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:57,02,冀B87***,虹宇牌-未知系列1-未知年款0
320300108805955779,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:58,01,鲁JC3***,-
320300108805956180,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:59,01,鲁Q38***,-
320300108805956275,铜山县,徐州市铜山县G206烟台-汕头K816江苏徐州-G206-苏皖界省际卡口,1,2023/12/1 0:59,02,苏CV9***,-
320300108805957030,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:01,01,鲁Q88***,-
320300108805957079,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:01,-,鲁Q81***,-
320300108805957695,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 1:02,52,鲁CDC***,-
320300108805957829,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:02,01,鲁Q76***,-
320300108805958134,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:03,01,鲁H10***,汉江牌-未知系列1-未知年款0
320300108805958283,丰县,徐州市丰县G518518国道K358马楼公路站省际卡口,1,2023/12/1 1:03,02,苏CA1***,-
320300108805958457,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:04,01,鲁Q82***,汉江牌-未知系列1-未知年款0
320300108805958547,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:04,01,苏CLQ***,汉江牌-未知系列1-未知年款0
320300108805958636,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:04,01,苏CLR***,-
320300108805958960,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:05,-,CQ23***,-
320300108805959002,沛县,徐州市沛县S253郑沛龙线K0江苏徐州-S253-苏鲁界省际卡口,1,2023/12/1 1:05,02,鲁HP8***,-
320300108805959259,丰县,徐州市丰县G518518国道K358马楼公路站省际卡口,1,2023/12/1 1:05,02,苏CE8***,-
320300108805959607,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 1:06,02,苏C9M***,-
320300108805960425,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:07,01,苏CHB***,-
320300108805961336,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:09,01,鲁Q82***,-
320300108805961512,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:10,01,皖CA3***,-
320300108805962122,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:11,01,苏CHW***,-
320300108805962360,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:11,01,鲁Q16***,-
320300108805962625,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:12,01,鲁VW2***,汉江牌-未知系列1-未知年款0
320300108805963113,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:13,-,鲁Q22***,-
320300108805963239,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:13,01,鲁Q60***,-
320300108805963271,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:13,01,鲁Q18***,-
320300108805963325,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:13,01,鲁JA6***,-
320300108805963476,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:13,01,赣M13***,-
320300108805963452,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:13,01,赣M13***,-
320300108805963764,丰县,徐州市丰县G518518国道K358马楼公路站省际卡口,1,2023/12/1 1:14,01,鲁RQ0***,-
320300108805964342,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:15,01,皖L81***,奥赛牌-未知系列0-未知年款0
320300108805964470,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:15,-,川川***,-
320300108805964938,丰县,徐州市丰县G518518国道K358马楼公路站省际卡口,1,2023/12/1 1:16,01,豫GH5***,-
320300108805964974,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:17,01,鲁Q63***,-
320300108805965558,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 1:18,-,鲁7X3***,-
320300108805965721,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 1:18,-,京G64***,-
320300108805965911,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:19,01,鲁DJ7***,-
320300108805967017,新沂市,徐州市新沂市S323连徐线K10阿湖卡口-323省道连云港交界市际卡口,1,2023/12/1 1:21,01,鲁Q19***,-
320300108805967305,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:21,01,鲁H57***,-
320300108805967641,新沂市,徐州市新沂市S505505省道K10新沂高速西出口-505省道宿迁界市际卡口,1,2023/12/1 1:22,02,浙G25***,-
320300108805968106,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:23,01,苏CJJ***,-
